name,win,linux,mac,author,description
The Last Survey,t,t,t,Essay Games,An essay game about navigating systems of power beyond your control
The Pamphlet of Pantheons,f,f,f,James Holloway,"A guide to creating gods, myths, and religions for fantasy games"
Explorers (Deluxe Edition ð¿),t,t,t,RÃ©my ð¬ Devaux,âµ Chart ð Haggle ð Flirt ð´ Relax ð¿
Zombie Admin,t,f,f,Hastily Assembled Games,A regular working day in the apocalypse.
The Stellar Beacon: Hopepunk Issue,f,f,f,Festive Ninja,zine with optimistic sci-fi adventures and essays on pop culture
Midnight Scenes: The Nanny,t,f,f,Octavi Navarro,Beware of the nanny...
The Spirit of Small Gifts,f,f,f,theinstagrahame,A solo-journaling (+ writing to friends) RPG meta-game about sending useful items to friends playing other games.
Double Cross,t,f,f,Graffiti_Games,"Explore alternate dimensions, fight interdimensional criminals, and solve crimes in this thrilling action platformer!"
Pendula Swing: The Complete Journey,t,f,f,Valiant Game Studio,A point & click adventure game set in a fantasy version of the American Roaring 1920s
Homunculus Hotel,t,t,t,Team SolEtude,"Where your dreams come true, believe it or not"
Volk-san: Egg&Catch,t,f,f,lampysprites,"Be a wolf, catch eggs! Smol, fast, and cute agility challenge!"
Grapple Force Rena,t,t,f,GalaxyTrail,"Swing, climb, grab, and throw in this action platformer where you can grapple anywhere!"
Eye of Ra,t,t,t,BEARCABIN,Atmospheric space station simulation
Toree 2,t,f,f,Siactro,A bite-sized 3D Platformer sequel to Toree 3D!
Card Hog,t,f,f,SnoutUp,Bacon-flavored dungeon crawler
Glittermitten Grove,t,t,t,Twinbeard,Grow plants and build treehouses in this magical land of faerie delights!
i hurt myself - postjam edition,t,t,t,pastellexists,a 30-second Bitsy vignette
Delver,t,t,t,Priority Interrupt,See from the eyes of a rogue.
inbento,t,f,f,afterburn,A food-themed puzzle game where you have to arrange lunches in bento boxes!
WATER'S FINE,t,f,f,owch,come on in
Il Filo Conduttore,t,t,t,Playables,A small interactive story about about a cord.
Eatvolve,t,f,f,papadar,Eatvolve is a playful eat-em-up evolution game.
PARTICLE MACE,t,f,f,AndyMakes,A space game about swinging trash into things and dying
Pebble Witch,t,f,t,Fuzzy Ghost,Play as a witch. Talk to pebbles.
[Speer],t,t,t,and0,Use your Speer as a platform!
UPSQUID,t,f,t,01010111,An endless squid-em-up played with two buttons!
Hunter's Moon Remastered,t,f,f,Thalamus Digital Publishing Ltd.,The official 30th anniversary remastered edition of the classic C64 shoot 'em up.
A Forgetful Loop,t,t,t,BigHandInSky,A time-looping worker-placement puzzle game
Alt-Frequencies,t,f,t,Plug In Digital,"An audio mystery set in a time loop. Record, rewind time and broadcast snippets of radio shows!"
Your Future Self,t,t,t,Contortionist Games,A time-loop based experimental text adventure.
World of Solaria: Rural Village Tileset,f,f,f,jamiebrownhill,16x16 tiles and sprites for your top-down games!
A Modern Prometheus,f,f,f,Mitchell Salmon,"A Roleplaying Game for 2 Players about Gothic Horror, Dark Science, and Creating Monsters"
Backspace Bouken,t,t,t,RNG Party Games,Explore and survive as the young typist Kana in an old-school dungeon full of absurd encounters and more.
Test Kitchen,f,f,f,theinstagrahame,A co-op time management party RPG for 3 to 5 players.
Recipe on Kmiydish Paper,f,f,f,Pearse Anderson,A Lost & Found game about delicious food and the communities who prepare it.
MiniFolks - Humans,f,f,f,LYASeeK,Pixel art characters pack
Wrapped With A Kiss,t,t,t,LegendEx Games,Who says the holidays have to be lonely?
Cats are Liquid - A Better Place,t,t,t,Last Quarter Studios,A 2D platformer about a liquid cat and her friends.
Depth of Extinction,t,t,t,HOF Studios,Explore a flooded world in this tactical RPG
The Floor is Jelly,t,f,t,Auren Snyder,What if everything you touched was made out of jelly?
Super Win the Game,t,t,t,J. Kyle Pittman,A retro-core explosion of exploration and platforming action!!
Amelie,t,t,t,Two and a Half Studios,"Two women alone in a manor, and another who changes everything."
Watch Me Jump,t,f,f,Jeremy Gable,An entirely different kind of basketball game. A narrative-driven journey told in four quarters.
LiveScream,t,f,t,Lightning Rod Games,Prove the existence of ghosts to your adoring audience!
PALACE OF WOE,t,f,f,owch,sort your self out
Danger Crew,t,t,t,Team Danger Crew,"Retro-style, top down RPG about being a programmer"
Kaiju Big Battel: Fighto Fantasy,t,t,t,Super Walrus Games,"Travel through time with big, punchy monsters in this 16-bit style RPG!"
Wand Wars,t,t,t,Moonradish,"Ride brooms, cast spells and transform your enemies into adorable chickens in this intense magical sport."
Lizzi Crossing,t,f,f,Eva Lee,Find the exit in this Nonogram meets Minesweeper puzzle game.
We should talk.,t,t,t,We should talk.,An award-winning videogame about the nuance of communication in relationships.
Bonbon,t,f,f,Aetheric Games,"A short horror story, about your childhood."
Fight Item Run,f,f,f,Whimsy Machine,A Pixellated TTRPG
Build a Witch,f,f,f,Eliot Silvarian,A character creation pack for role playing or storytelling.
RITE,t,t,f,PondGames,A high-speed pixel art platformer
Tales From Windy Meadow,t,f,f,Moral Anxiety Studio,A slice-of-life interactive story about choosing your path and living in a community.
LOVE 2: kuso,t,t,f,Fred Wood,A short platforming game with a minimalist aesthetic and a focus on fair yet challenging gameplay.
Galactic Bar Fight,f,f,f,WeirdKidStudios,"Grab a drink, grab a blaster, and have fun with our VR Sci-fi Action Experience !"
NEON STRUCT,t,t,t,Minor Key Games,
Luna,t,f,f,Funomena,A game about forgiveness
Bunny Hill Horror: Bunny Boiler,t,f,f,Krunchy Fried Games,A Bizarro Horror Visual Novel Adventure
Sector 781,t,f,f,Ben James,Metroidvania Platformer
Pleroma,t,f,f,Aleks Samoylov,Are you pulling my leg or are you genuinely having one of your â¦ departures?
Cosmic Rochambo,t,t,t,dean_sick,Ram people... in spaaaaace
Four Horsemen,t,t,t,Nuclear Fishin' Software,Leave home. Start anew. Punch racists.
Self-Checkout Unlimited,t,t,t,Argent Games,Explore and unravel the mall of your mind.
Butterflies Episode 1: Rudies,t,t,t,Le Capitaine,Do you understand the concept of love?
PARANOIHELL,t,f,t,lum,It's a long walk home...
Ganbare! Super Strikers,t,t,t,rese,Turn Based Tactical RPG Soccer Game.
CROSSNIQ+,t,t,t,Max Krieger,"A y2k aesthetic arcade puzzle game, inspired by puzzle games from the late 90's!"
Tenderfoot Tactics,t,f,t,Badru,ðð±ð¥
Circa Infinity,t,f,t,KennySun,A Brain-Melting Platformer
